origen_stop,dest_stop,lines
2313,2314,"['00270', '077A0']"
2314,2315,"['00270', '077A0', '01510']"
2315,2094,"['00270', '077A0', '056A0', '01510']"
2094,1406,"['00270', '077A0', '056A0', '01510']"
1406,1407,"['00270', '077A0', '056A0', '01510', '00170']"
1407,1409,"['00270', '077A0', '056A0', '01510', '00170']"
1409,2095,"['00270', '077A0', '056A0', '01510']"
2095,2096,"['00270', '077A0', '056A0', '01510']"
2096,2097,"['00270', '077A0', '056A0', '01510']"
2097,2099,"['00270', '077A0', '056A0', '01510']"
2099,2101,"['00270', '077A0', '056A0', '01510']"
2101,2102,"['00270', '077A0', '056A0', '00181', '01510']"
2102,2103,"['00270', '077A0', '01231']"
2103,1276,['00270']
1276,2333,['00270']
2333,2334,"['00270', '077A0']"
2334,4662,['00270']
4662,2336,['00270']
2336,2337,"['00270', '077A0']"
2337,2339,"['00270', '077A0']"
2339,2340,['00270']
2340,2601,['00270']
2601,4446,['00270']
4446,2603,['00270']
2603,2332,['00270']
2332,2557,['00270']
2557,4436,"['00270', '00650', '077A0', '00751', '054A0']"
4436,5008,"['00270', '00650', '077A0', '00751', '054A0']"
5008,4640,"['00270', '00650', '077A0', '076A0', '00760', '054A0']"
4640,4347,"['00270', '00650', '077A0', '076A0', '00760']"
4347,2349,"['00270', '00650', '077A0', '054A0']"
2349,2351,"['00270', '00650', '077A0', '056A1', '054A0']"
2351,2621,"['00270', '056A1']"
2621,2624,['00270']
2624,4441,['00270']
4441,2626,['00270']
2626,2669,['00270']
2669,2335,['00270']
2335,4641,['00270']
4641,4642,['00270']
4642,2355,['00270']
2355,2622,['00270']
2622,2623,['00270']
3926,7074,['00671']
7074,3919,['00671']
3919,3920,['00671']
3920,3921,['00671']
3921,3922,"['00671', '067X1']"
3922,3923,"['00671', '067X1']"
3923,3112,['00671']
3112,3924,['00671']
3924,3927,['00671']
3927,3928,['00671']
3928,3929,['00671']
3929,7108,['00671']
7108,3935,"['00671', '067X1']"
3935,3936,"['00671', '067X1']"
3936,3938,"['00671', '067X1']"
3938,3939,"['00671', '067X1']"
3939,3940,"['00671', '067X1']"
3940,3941,['00671']
3941,3943,['00671']
3943,3944,"['00671', '067X1']"
3944,3945,"['00671', '067X1']"
3945,3946,"['00671', '067X1']"
3946,4001,"['00671', '067X1']"
4001,3949,"['00671', '066B1', '00661', '066A1']"
3949,3950,"['00671', '066B1', '00661', '066A1', '00251', '025X1']"
3950,3372,"['00671', '066B1', '00661', '066A1', '025X1']"
3372,3373,"['00671', '066B1', '00661', '066A1', '025X1']"
3373,3374,"['00671', '066B1', '00661', '066A1', '025X1']"
3374,2233,"['00671', '066B1', '00661', '066A1', '025X1']"
2233,2232,"['00671', '066B1', '00661', '066A1', '00251', '025X1']"
2232,2234,"['00671', '066B1', '00661', '066A1', '00251', '025X1']"
2234,2235,"['00671', '025A1', '025B1', '066B1', '00661', '066A1', '00251', '025X1']"
2235,2236,"['00671', '025A1', '025B1', '066B1', '00661', '066A1', '00251']"
2236,2238,"['00671', '025A1', '066B1', '066A1']"
2238,5056,"['00671', '025A1', '066B1', '00661', '00251']"
5056,2239,"['00671', '025A1', '025B1', '066B1', '00661', '00251', '025D1']"
2239,2241,"['00671', '025A1', '025B1', '066B1', '00661', '066A1', '067X1', '00251', '066X1', '025X1']"
2241,2242,"['00671', '025A1', '025B1', '066B1', '00661', '076A0', '066A1', '00261', '067X1', '066X1', '051D1', '025X1']"
2242,2243,"['00671', '066B1', '00661', '076A0', '066A1', '00261']"
2243,3917,['00671']
3917,2244,['00671']
2244,2245,"['00671', '066B1', '00661', '066A1', '00251']"
2245,2246,"['00671', '066B1', '00661', '066A1', '00251']"
2246,2247,"['00671', '066B1', '00661', '066A1', '00261']"
2247,2248,"['00671', '066B1', '00661', '066A1', '00261', '00251']"
2248,2249,"['00671', '066B1', '00661', '066A1', '00261', '00251']"
2249,2251,['00671']
2251,1472,"['00671', '066B1', '066A1', '00251']"
1472,4408,"['00671', '066B1', '00661', '00691', '066A1', '00261']"
4408,1473,"['00671', '00691', '066A1', '00261', '00251']"
